date_id,temp_c,humidity_%,rain_mm,snowfall_cm,atmopressure_hpa,cloudcover_%,u10,v10
2025-02-14,0.95199996,72.0,0.0,0.0,1001.4976,0.0,2.1000046938500114,-1.8999979296627318
2025-02-15,1.8915833404166664,66.70833333333333,0.0,0.0,998.5772520833333,33.541666666666664,0.2604725425753147,1.0175956233255812
2025-02-16,4.177000003333333,70.375,0.0,0.0,994.35481875,54.125,0.7678803978877645,0.3458444114533862
2025-02-17,3.4152499983333335,81.79166666666667,0.0,0.0,997.1306716666667,60.375,-0.03797316959986842,0.8815163970104734
2025-02-18,4.268833482833333,85.20833333333333,0.0,0.0,998.1460841666667,52.0,-0.3032112610569391,0.5281391829456075
2025-02-19,8.027166745833332,84.20833333333333,0.0,0.0,1001.3900095833333,90.875,-0.02024205346185983,1.3690382217174664
2025-02-20,8.923937570833333,86.16666666666667,0.0,0.0,1006.1204733333334,27.041666666666668,0.48156422507744484,1.2559420322159995
2025-02-21,10.670500154166668,70.41666666666667,0.0,0.0,1005.8852495833333,9.125,-1.1193220282221246,4.362220425633909
2025-02-22,11.626750125000001,73.04166666666667,0.0,0.0,1007.7910216666666,8.958333333333334,-1.3864958715790774,3.2682811766429576
2025-02-23,11.4285835,77.04166666666667,0.0,0.0,1010.0525908333334,67.79166666666667,-0.14769081718482174,1.9433197610000654
2025-02-24,11.0755835,75.91666666666667,0.0,0.0,1009.5899245833333,98.66666666666667,-0.8475529490640584,1.4443822539412474
2025-02-25,10.373500208333335,83.625,0.08750000000000001,0.0,1005.02887375,84.95833333333333,1.2239943483031117,-0.8268622187015373
2025-02-26,10.121416941666666,81.5,0.1708333333333333,0.0,996.5229424999999,99.91666666666667,1.0482768545068148,4.177238794995098
2025-02-27,9.094333345833332,75.54166666666667,0.029166666666666664,0.0,996.54314375,84.54166666666667,0.9865253350231731,1.5799002784119112
2025-02-28,7.268608791304348,80.43478260869566,0.03913043478260869,0.0,996.1473360869564,98.65217391304348,0.10528730224610704,3.314805737590231
